Numero,Mot,example sentence (facile),Corrected Sentence
128,Authorize,I need to authorize the payment before it can be processed.,I need to authorize the payment before it can be processed.
129,Availability,"The availability of tickets is limited, so book early.","The availability of tickets is limited, so book early."
130,Available,Is this item available in other colors?,Is this item available in other colors?
131,Avoid,Try to avoid making unnecessary noise during the presentation.,Try to avoid making unnecessary noise during the presentation.
132,Awareness,The campaign aimed to raise awareness about environmental issues among the audience.,The campaign aimed to raise awareness about environmental issues among the audience.
133,Awkward,"It was an awkward situation, and nobody knew what to say.","It was an awkward situation, and nobody knew what to say."
134,Background,What's your background in marketing?,What's your background in marketing?
135,Backpack,Don't forget to pack your backpack for the trip.,Don't forget to pack your backpack for the trip.
136,Baggage claim,You can collect your luggage at the baggage claim area.,You can collect your luggage at the baggage claim area.
137,Balance,It's important to maintain a balance between work and personal life.,It's important to maintain a balance between work and personal life.
138,Balance sheet,"The company published its annual balance sheet, showing its financial assets and liabilities","The company published its annual balance sheet, showing its financial assets and liabilities"
139,Bank,The bank approved the loan application after a thorough review of the applicant’s financial history.,The bank approved the loan application after a thorough review of the applicant’s financial history.
140,Bankruptcy,The company declared bankruptcy last year.,The company declared bankruptcy last year.
141,bar,The barcode on the product makes it easy to scan at checkout.,The barcode on the product makes it easy to scan at checkout. (Ajout de 'bar')
142,Barcode,She held onto the bar to support herself during the exercise.,She held onto the bar to support herself during the exercise. (Ajout de 'Barcode')
143,Bargain,I managed to find a bargain at the flea market.,I managed to find a bargain at the flea market.
144,Basic,The course covers all the basic principles of accounting.,The course covers all the basic principles of accounting.
145,Beat off,The team managed to beat off their competitors and win the championship.,The team managed to beat off their competitors and win the championship.
146,Behave,The children were told to behave during the school trip.,The children were told to behave during the school trip.
147,Belongings,Don't forget to collect all your belongings before you leave the hotel.,Don't forget to collect all your belongings before you leave the hotel.
148,Beneficial,Regular exercise is beneficial for both physical and mental health.,Regular exercise is beneficial for both physical and mental health.
149,Benefit,The new software update is designed to benefit users by improving system performance and enhancing overall security.,The new software update is designed to benefit users by improving system performance and enhancing overall security.
150,Beverage,Would you like a hot or cold beverage with your meal?,Would you like a hot or cold beverage with your meal?
151,Bid,The company placed a bid for the construction project.,The company placed a bid for the construction project.
152,Bill,Can you please pay the electricity bill this month?,Can you please pay the electricity bill this month?
153,Binder,The documents are organized neatly in the binder.,The documents are organized neatly in the binder.
154,Blanket,She covered herself with a warm blanket while watching TV.,She covered herself with a warm blanket while watching TV.
155,Block,"There's a roadblock ahead, so we'll need to find an alternative route.","There's a roadblock ahead, so we'll need to find an alternative route. (Ajout de 'Block')"
156,Board,The passengers are now boarding the plane.,The passengers are now boarding the plane. (Ajout de 'Board')
157,Boarding pass,Don't forget to bring your boarding pass to the airport.,Don't forget to bring your boarding pass to the airport.
158,Boardroom,The meeting will take place in the boardroom on the top floor.,The meeting will take place in the boardroom on the top floor.
159,Boast,He likes to boast about his accomplishments.,He likes to boast about his accomplishments.
160,Book,I'll book a table for two at the restaurant for tonight.,I'll book a table for two at the restaurant for tonight.
161,Booking,booking a hotel room in advance is important to ensure safety ,booking a hotel room in advance is important to ensure safety 
162,Boost,The new marketing strategy helped boost sales.,The new marketing strategy helped boost sales.
163,Bored,I'm feeling bored; let's do something fun.,I'm feeling bored; let's do something fun.
164,Borrow,I had to borrow some money from my friend to pay for the repairs.,I had to borrow some money from my friend to pay for the repairs.
165,Bother,Don't bother about the dishes; I'll take care of them.,Don't bother about the dishes; I'll take care of them.
166,Bottom line,The bottom line is that we need to increase our revenue.,The bottom line is that we need to increase our revenue.
167,Branch,The company plans to open a new branch in the city center.,The company plans to open a new branch in the city center.
168,Branch out,The company plans to branch out into new markets next year.,The company plans to branch out into new markets next year.
169,Brand,Nike is a well-known brand for sports apparel.,Nike is a well-known brand for sports apparel.
170,Break down,Can you break down the costs for me?,Can you break down the costs for me?
171,Break into,It's difficult to break into the competitive fashion industry.,It's difficult to break into the competitive fashion industry.
172,Briefcase,He carries all his important documents in a leather briefcase.,He carries all his important documents in a leather briefcase.
173,Briefing,The manager gave us a briefing on the new project.,The manager gave us a briefing on the new project.
174,Bring forward,Let's bring forward the meeting to accommodate everyone's schedule.,Let's bring forward the meeting to accommodate everyone's schedule.
175,Bring out,The new recipe book will bring out the chef in everyone.,The new recipe book will bring out the chef in everyone.
176,Bring up,I need to bring up an important issue during the staff meeting.,I need to bring up an important issue during the staff meeting.
177,Broadcast,The news was broadcast live on television.,The news was broadcast live on television.
178,Broaden,Traveling can broaden your horizons and open your mind to new cultures.,Traveling can broaden your horizons and open your mind to new cultures.
179,Browser,Which internet browser do you prefer to use?,Which internet browser do you prefer to use?
180,Brush,She brushed her hair before leaving the house.,She brushed her hair before leaving the house. (Ajout de 'Brush')
181,Budget,We need to adjust our budget to handle the buildup of maintenance costs.,We need to adjust our budget to handle the buildup of maintenance costs.
182,Build up,The company set a budget for the buildup of new office supplies.,The company set a budget for the buildup of new office supplies. (Ajout de 'Build up')
183,Bulletin,The company sends out a weekly bulletin to all employees.,The company sends out a weekly bulletin to all employees.
184,Burn out,Working long hours without breaks can cause employees to burn out quickly.,Working long hours without breaks can cause employees to burn out quickly.
185,Bust,"After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation.","After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation. (Ajout de 'Bust')"
186,Buy out,The larger company decided to buy out its smaller competitor to expand its market share.,The larger company decided to buy out its smaller competitor to expand its market share.
187,Cabin crew,The cabin crew will assist you with any questions during the flight.,The cabin crew will assist you with any questions during the flight.
188,Cafeteria,The office cafeteria serves a variety of meals for lunch.,The office cafeteria serves a variety of meals for lunch.
189,Calculate,Let me calculate how much we'll need for the trip.,Let me calculate how much we'll need for the trip.
190,Calculation,The calculation shows that we're still within budget.,The calculation shows that we're still within budget.
191,Calculator,Do you have a calculator I can borrow for the exam?,Do you have a calculator I can borrow for the exam?
192,Call off,"Due to the weather, we have to call off the outdoor event.","Due to the weather, we have to call off the outdoor event."
193,Campaign,The charity launched a fundraising campaign to build a new school.,The charity launched a fundraising campaign to build a new school.
194,Cancel,I need to cancel my subscription to the magazine.,I need to cancel my subscription to the magazine.
195,Cancellation,The cancellation of the event disappointed many attendees.,The cancellation of the event disappointed many attendees.
196,Candidacy,His candidacy for the presidency was announced last week.,His candidacy for the presidency was announced last week.
197,Candidate,There are several candidates running for mayor in the upcoming election.,There are several candidates running for mayor in the upcoming election. (Ajout de 'Candidate')
198,candidates,Several candidates have emerged as potential successors to the CEO.,Several candidates have emerged as potential successors to the CEO.
199,candidature,Her candidature for the position was well-received by the selection committee.,Her candidature for the position was well-received by the selection committee.
200,Capacity,The venue has a capacity of 500 people.,The venue has a capacity of 500 people.
201,Capital,London is the capital city of England.,London is the capital city of England.
202,Career,She's had a successful career in finance.,She's had a successful career in finance.
203,Careless,Don't be careless with the company's confidential information.,Don't be careless with the company's confidential information.
204,Carry out,We need to carry out a thorough investigation before reaching any conclusions.,We need to carry out a thorough investigation before reaching any conclusions.
205,Cash,I'll need to withdraw some cash from the ATM.,I'll need to withdraw some cash from the ATM.
206,Cashier,The cashier rang up my groceries at the supermarket.,The cashier rang up my groceries at the supermarket.
207,Catch on,The new trend seems to be catching on quickly.,The new trend seems to be catching on quickly.
208,Cause,The heavy rainfall was the cause of the flooding.,The heavy rainfall was the cause of the flooding.
209,Cautious,He's very cautious when it comes to making decisions.,He's very cautious when it comes to making decisions.
210,Celebrate,We're going out to celebrate my sister's birthday tonight.,We're going out to celebrate my sister's birthday tonight.
211,Celebration,The town holds an annual celebration to mark its founding.,The town holds an annual celebration to mark its founding.
212,Cell phone,Please remember to turn off your cell phone during the meeting.,Please remember to turn off your cell phone during the meeting.
213,Certificate,She received a certificate of achievement for her outstanding performance.,She received a certificate of achievement for her outstanding performance.
214,Certification,The course offers certification in project management.,The course offers certification in project management.
215,Chain,The company operates a chain of restaurants across the country.,The company operates a chain of restaurants across the country.
216,Chain store,Walmart is a well-known chain store.,Walmart is a well-known chain store.
217,Chair,Please take a seat in the chair next to mine.,Please take a seat in the chair next to mine.
218,Chairman,The chairman of the board will lead the meeting.,The chairman of the board will lead the meeting.
219,Chairperson,The chairperson will introduce the guest speaker.,The chairperson will introduce the guest speaker.
220,Characteristic,One characteristic of successful entrepreneurs is resilience.,One characteristic of successful entrepreneurs is resilience.
221,Characterize,The report will characterize the market trends by highlighting key growth areas and emerging opportunities,The report will characterize the market trends by highlighting key growth areas and emerging opportunities
222,Charge,What's the charge for using the gym facilities?,What's the charge for using the gym facilities?
223,Charity,The charity provides support for homeless people.,The charity provides support for homeless people.
224,Cheap,The store offers cheap prices on a wide range of products.,The store offers cheap prices on a wide range of products.
225,Check in,You can check in online before your flight.,You can check in online before your flight.
226,Check out,Don't forget to check out of the hotel before you leave.,Don't forget to check out of the hotel before you leave.
227,Chef,The chef prepared a delicious three-course meal.,The chef prepared a delicious three-course meal.
228,choice,She had to make a difficult choice between the two job offers.,She had to make a difficult choice between the two job offers.
229,chosen,The chosen candidate will be offered the job.,The chosen candidate will be offered the job.
230,Circumstances,"Given the circumstances, I think we made the right decision.","Given the circumstances, I think we made the right decision."
231,Claim,She filed a claim with her insurance company after the accident.,She filed a claim with her insurance company after the accident.
232,Claimant,The claimant was awarded compensation for the damages.,The claimant was awarded compensation for the damages.
233,Classification,The classification of the documents makes it easier to find what you need.,The classification of the documents makes it easier to find what you need.
234,Classify,We need to classify the items before we can proceed.,We need to classify the items before we can proceed.
235,Clerk,The clerk at the store was very helpful.,The clerk at the store was very helpful.
236,Client,Our main client is a multinational corporation.,Our main client is a multinational corporation.
237,Climate,The climate in this region is perfect for growing grapes.,The climate in this region is perfect for growing grapes.
238,close,They have a close friendship that has lasted for years.,They have a close friendship that has lasted for years.
239,Closure,The closure of the factory will affect many local families.,The closure of the factory will affect many local families.
240,Coach,The coach gave the team a pep talk before the game.,The coach gave the team a pep talk before the game.
241,Code,The programmer wrote the code for the new software.,The programmer wrote the code for the new software.
242,Collect,Don't forget to collect your tickets from the box office.,Don't forget to collect your tickets from the box office.
243,come on,"Come on, we're going to be late if we don't leave now.","Come on, we're going to be late if we don't leave now."
244,Commence,The meeting will commence in ten minutes.,The meeting will commence in ten minutes.
245,Commission,The salesperson earns a commission for every product sold.,The salesperson earns a commission for every product sold.
246,Commit,He promised to commit to the project fully.,He promised to commit to the project fully.
247,Committee,The committee meets every month to discuss important issues.,The committee meets every month to discuss important issues.
248,Commodity,Oil is a valuable commodity that is traded on the global market.,Oil is a valuable commodity that is traded on the global market.
249,Common,It's common for people to feel nervous before a job interview.,It's common for people to feel nervous before a job interview.
250,Commonly,The company commonly holds team-building activities.,The company commonly holds team-building activities.
251,Commute,She has a long commute to work every day.,She has a long commute to work every day.
252,Commuter,The train was packed with commuters heading into the city.,The train was packed with commuters heading into the city. (Ajout de 'Commuter')
253,Company,Our company specializes in software development.,Our company specializes in software development.
254,Comparable,Their performance is comparable to that of professional athletes.,Their performance is comparable to that of professional athletes.
255,Compare,Let's compare the prices before making a decision.,Let's compare the prices before making a decision.
256,Compatible,The new software is compatible with most operating systems.,The new software is compatible with most operating systems.
257,Compensate,The company will compensate employees for any overtime worked.,The company will compensate employees for any overtime worked.
258,Competent,She's a competent manager who knows how to lead her team effectively.,She's a competent manager who knows how to lead her team effectively.
259,Competition,The competition in the market is fierce.,The competition in the market is fierce.
260,Competitive,The company must stay competitive to survive in this industry.,The company must stay competitive to survive in this industry.
261,Competitor,Our main competitor just released a new product.,Our main competitor just released a new product.
262,Complain,"If you have any issues, feel free to complain to customer service.","If you have any issues, feel free to complain to customer service."
263,Complaint,He filed a formal complaint with HR about his coworker's behavior.,He filed a formal complaint with HR about his coworker's behavior.
264,Complete,Please complete the form and return it to our office.,Please complete the form and return it to our office.
265,Complex,The situation is more complex than we initially thought.,The situation is more complex than we initially thought.
266,Complexity,The complexity of the issue requires careful consideration.,The complexity of the issue requires careful consideration.
267,Compliment,She received a compliment on her presentation skills.,She received a compliment on her presentation skills.
268,Complimentary,The hotel offers complimentary breakfast to guests.,The hotel offers complimentary breakfast to guests.
269,Comply,All employees must comply with company policies.,All employees must comply with company policies.
270,Comprehensive,The report provides a comprehensive analysis of the market trends.,The report provides a comprehensive analysis of the market trends.
271,Compromise,Both sides had to compromise to reach a settlement.,Both sides had to compromise to reach a settlement.
272,Compulsory,Attendance at the meeting is compulsory for all staff.,Attendance at the meeting is compulsory for all staff.
273,Concede,He had to concede defeat after losing the election.,He had to concede defeat after losing the election.
274,Concern,The safety of our employees is our primary concern.,The safety of our employees is our primary concern.
275,Conclude,Let's conclude the meeting with a summary of our decisions.,Let's conclude the meeting with a summary of our decisions.
276,Conclusion,"In conclusion, I believe we've made significant progress.","In conclusion, I believe we've made significant progress."
277,Concourse,The concourse at the airport was bustling with travelers.,The concourse at the airport was bustling with travelers.
278,Condition,The car is in excellent condition for its age.,The car is in excellent condition for its age.
279,Conduct,Employees are expected to conduct themselves professionally at all times.,Employees are expected to conduct themselves professionally at all times.
280,Conference,The annual conference attracts professionals from around the world.,The annual conference attracts professionals from around the world.
281,confess ,He confessed his love for her.,He confessed his love for her. (Ajout de 'confess ')
282,Confirm,Can you confirm your attendance at the meeting?,Can you confirm your attendance at the meeting?
283,Confirmation,We'll send you a confirmation email once your booking is complete.,We'll send you a confirmation email once your booking is complete.
284,Confusion,There seems to be some confusion about the schedule.,There seems to be some confusion about the schedule.
285,Connect,The Wi-Fi network allows you to connect to the internet.,The Wi-Fi network allows you to connect to the internet.
286,Connection,The connection between the two devices is secure.,The connection between the two devices is secure.
287,Consequence,The consequences of climate change are becoming increasingly severe.,The consequences of climate change are becoming increasingly severe. (Ajout de 'Consequence')
288,Consider,We need to consider all options before making a decision.,We need to consider all options before making a decision.
289,Considerable,There has been a considerable increase in sales this quarter.,There has been a considerable increase in sales this quarter.
290,considering,"Considering his lack of experience, he did a good job on the project.","Considering his lack of experience, he did a good job on the project."
291,Consignment,The consignment of goods arrived at the warehouse yesterday.,The consignment of goods arrived at the warehouse yesterday.
292,Consist,The report consists of three main sections.,The report consists of three main sections. (Ajout de 'Consist')
293,Consistent,Her performance has been consistent throughout the year.,Her performance has been consistent throughout the year.
294,Consistently,He consistently delivers high-quality work on time.,He consistently delivers high-quality work on time.
295,Constant,There's been a constant stream of customers all day.,There's been a constant stream of customers all day.
296,Constantly,The price of goods is constantly changing due to market fluctuations.,The price of goods is constantly changing due to market fluctuations.
297,Construction,The construction of the new office building is almost complete.,The construction of the new office building is almost complete.
298,Consult,We'll need to consult with the legal team before proceeding.,We'll need to consult with the legal team before proceeding.
299,Consultant,The company hired a consultant to advise on marketing strategy.,The company hired a consultant to advise on marketing strategy.
300,Consume,It's important to consume a balanced diet for good health.,It's important to consume a balanced diet for good health.
301,Consumer,Consumer demand for eco-friendly products is increasing.,Consumer demand for eco-friendly products is increasing.
302,Contain,The box contains all the necessary components for assembly.,The box contains all the necessary components for assembly. (Ajout de 'Contain')
303,Container,The shipment arrived in a large container.,The shipment arrived in a large container.
304,Continual,The company strives for continual improvement in its products.,The company strives for continual improvement in its products.
305,Continuation,The continuation of the project depends on securing additional funding.,The continuation of the project depends on securing additional funding.
306,Continue,Let's continue our discussion after the break.,Let's continue our discussion after the break.
307,Contract out ,We decided to contract out the IT services to a specialized firm.,We decided to contract out the IT services to a specialized firm.
308,Contribute,Employees are encouraged to contribute ideas for improvement.,Employees are encouraged to contribute ideas for improvement.
309,Contribution,Your contribution to the team has been invaluable.,Your contribution to the team has been invaluable.
310,Control,The manager needs to maintain control over the project.,The manager needs to maintain control over the project.
311,Control panel,The control panel allows you to adjust various settings.,The control panel allows you to adjust various settings.
312,Convenient,The location of the hotel is convenient for exploring the city.,The location of the hotel is convenient for exploring the city.
313,Conveniently,The store is conveniently located next to the train station.,The store is conveniently located next to the train station.
314,Convince,I'll try to convince him to join us for dinner.,I'll try to convince him to join us for dinner.
315,Convincing,Her argument was convincing enough to persuade the jury.,Her argument was convincing enough to persuade the jury.
316,cool,The weather turned cool in the evening.,The weather turned cool in the evening.
317,Core business,Our core business is manufacturing electronic components for the automotive industry.,Our core business is manufacturing electronic components for the automotive industry.
318,Corporate,The corporate office is located downtown.,The corporate office is located downtown.
