Numero,Mot,example sentence (facile),Corrected Sentence,Indicateur
66,Airline,Which airline are you flying with?,Which airline are you flying with?,Non modifié
67,Aisle,Please keep the aisle clear during the flight.,Please keep the aisle clear during the flight.,Non modifié
68,Alarm,"The fire alarm went off, and we had to evacuate the building.","The fire alarm went off, and we had to evacuate the building.",Non modifié
69,Allow,The rules allow for a certain level of flexibility.,The rules allow for a certain level of flexibility.,Non modifié
70,Alternative,The management team proposed an alternative strategy to cut costs without compromising the quality of our products.,The management team proposed an alternative strategy to cut costs without compromising the quality of our products.,Non modifié
71,Ambitious,She's very ambitious and has big plans for her career.,She's very ambitious and has big plans for her career.,Non modifié
72,Amend,We'll need to amend the contract before it's finalized.,We'll need to amend the contract before it's finalized.,Non modifié
73,amicable,They reached an amicable agreement after negotiations.,They reached an amicable agreement after negotiations.,Non modifié
74,Amount,Can you tell me the exact amount of money we have left?,Can you tell me the exact amount of money we have left?,Non modifié
75,Amusing,The comedian's jokes were amusing and kept the audience entertained.,The comedian's jokes were amusing and kept the audience entertained.,Non modifié
76,acute lack of new offices,"An acute lack of new offices has hindered the company's expansion plans, forcing them to seek temporary solutions.","An acute lack of new offices has hindered the company's expansion plans, forcing them to seek temporary solutions.",Non modifié
77,uncertainty on the given figures,We conducted a thorough analysis of the data.,We conducted a thorough analysis of the data.,Non modifié
78,Analysis,"The city is facing an acute lack of new offices, which is driving up rental prices.","Analysis is important because the city is facing an acute lack of new offices, which is driving up rental prices.",Modifié
79,Analyze,"There is some uncertainty on the given figures, so we need to analyze our calculations.","There is some uncertainty on the given figures, so we need to analyze our calculations.",Non modifié
80,Announcement,The company's announcement about the new product launch excited everyone.,The company's announcement about the new product launch excited everyone.,Non modifié
81,Annoying,The constant noise from the construction site was very annoying.,The constant noise from the construction site was very annoying.,Non modifié
82,Annual,We have an annual meeting every December to discuss our progress.,We have an annual meeting every December to discuss our progress.,Non modifié
83,Anticipate,We anticipate a significant increase in sales next quarter.,We anticipate a significant increase in sales next quarter.,Non modifié
84,Anxious,She felt anxious before her job interview.,She felt anxious before her job interview.,Non modifié
85,Apologize,I apologize for the mistake in your order.,I apologize for the mistake in your order.,Non modifié
86,Appeal,The charity made a heartfelt appeal for donations.,The charity made a heartfelt appeal for donations.,Non modifié
87,Appetizer,We enjoyed a delicious appetizer before the main course.,We enjoyed a delicious appetizer before the main course.,Non modifié
88,Appliance,The new kitchen appliance made cooking much easier.,The new kitchen appliance made cooking much easier.,Non modifié
89,Applicant,The applicant was well-qualified for the position.,The applicant was well-qualified for the position.,Non modifié
90,Application,She submitted her application for the scholarship.,She submitted her application for the scholarship.,Non modifié
91,Apply,You need to apply for the permit before starting the project.,You need to apply for the permit before starting the project.,Non modifié
92,Appointment,They appointed her as the new head of the department.,Appointment is important because they appointed her as the new head of the department.,Modifié
93,appraisal,I have an appointment with the dentist tomorrow morning.,Appraisal is important because i have an appointment with the dentist tomorrow morning.,Modifié
94,appraise,There's been an appreciable improvement in his performance.,Appraise is important because there's been an appreciable improvement in his performance.,Modifié
95,Appreciable,The performance appraisal is conducted annually.,Appreciable is important because the performance appraisal is conducted annually.,Modifié
96,Appreciate,The real estate agent will appraise the house before listing it for sale.,Appreciate is important because the real estate agent will appraise the house before listing it for sale.,Modifié
97,Appreciation,I really appreciate all your help with the project.,Appreciation is important because i really appreciate all your help with the project.,Modifié
98,Appreciative,She was very appreciative of the support she received.,She was very appreciative of the support she received.,Non modifié
99,Apprentice,The company hired an apprentice to learn and gain hands-on experience in the field,The company hired an apprentice to learn and gain hands-on experience in the field,Non modifié
100,Approach,He started as an apprentice and worked his way up to manager.,Approach is important because he started as an apprentice and worked his way up to manager.,Modifié
101,Appropriate,Our approach to customer service sets us apart from our competitors.,Appropriate is important because our approach to customer service sets us apart from our competitors.,Modifié
102,appropriation,Wearing jeans might not be appropriate for a formal event.,Appropriation is important because wearing jeans might not be appropriate for a formal event.,Modifié
103,approval,The project cannot proceed until we receive final approval from the board,The project cannot proceed until we receive final approval from the board,Non modifié
104,Approve,The board approved the new project proposal after a thorough review.,The board approved the new project proposal after a thorough review.,Modifié
105,Approximate,The proposal received unanimous approval from the board.,The concept of Approximate is widely used in various contexts.,Modifié
106,Arbitrate,Can you give me an approximate time of arrival?,Arbitrate plays a role in can you give me an approximate time of arrival?.,Modifié
107,Area,They decided to arbitrate the dispute rather than go to court.,Area is important because they decided to arbitrate the dispute rather than go to court.,Modifié
108,Argue,The park covers a large area of land.,Argue is important because the park covers a large area of land.,Modifié
109,Argument,"We argue sometimes, but it never lasts long.","Argument is important because we argue sometimes, but it never lasts long.",Modifié
110,Arrange,There was a heated argument during the meeting.,Arrange is important because there was a heated argument during the meeting.,Modifié
111,Arrangement,I'll arrange for someone to pick you up from the airport.,Arrangement is important because i'll arrange for someone to pick you up from the airport.,Modifié
112,asking,We need to make some arrangements for the upcoming event.,Asking is important because we need to make some arrangements for the upcoming event.,Modifié
113,Assemble,nan,The concept of Assemble is widely used in various contexts.,Modifié
114,Assess,She was asking about the availability of the product.,Assess is important because she was asking about the availability of the product.,Modifié
115,Assets,We need to assess the situation before making a decision.,Assets is important because we need to assess the situation before making a decision.,Modifié
116,Assign,The company's assets include property and equipment.,Assign is important because the company's assets include property and equipment.,Modifié
117,Assume,I'll assign someone to help you with the project.,Assume is important because i'll assign someone to help you with the project.,Modifié
118,Assurance,Let's not assume anything until we have all the facts.,Assurance is important because let's not assume anything until we have all the facts.,Modifié
119,Attach,Please attach your resume to the job application.,Please attach your resume to the job application.,Non modifié
120,Attachment,The manager gave her assurance that the issue would be resolved promptly.,Attachment is important because the manager gave her assurance that the issue would be resolved promptly.,Modifié
121,Attend,The email included an attachment with the meeting agenda.,Attend is important because the email included an attachment with the meeting agenda.,Modifié
122,Attendance,nan,The concept of Attendance is widely used in various contexts.,Modifié
123,Attentively,She listened attentively to the speaker's presentation.,She listened attentively to the speaker's presentation.,Non modifié
124,Attract,The new marketing campaign is designed to attract younger customers.,The new marketing campaign is designed to attract younger customers.,Non modifié
125,Audience,The speaker captivated the audience with his PITCH,The speaker captivated the audience with his PITCH,Non modifié
126,Audit,The company undergoes an annual audit to ensure compliance.,The company undergoes an annual audit to ensure compliance.,Non modifié
127,Authority,The police have the authority to enforce the law.,The police have the authority to enforce the law.,Non modifié
128,Authorize,I need to authorize the payment before it can be processed.,I need to authorize the payment before it can be processed.,Non modifié
129,Availability,"The availability of tickets is limited, so book early.","The availability of tickets is limited, so book early.",Non modifié
130,Available,Is this item available in other colors?,Is this item available in other colors?,Non modifié
131,Avoid,Try to avoid making unnecessary noise during the presentation.,Try to avoid making unnecessary noise during the presentation.,Non modifié
132,Awareness,The campaign aimed to raise awareness about environmental issues among the audience.,The campaign aimed to raise awareness about environmental issues among the audience.,Non modifié
133,Awkward,"It was an awkward situation, and nobody knew what to say.","It was an awkward situation, and nobody knew what to say.",Non modifié
134,Background,What's your background in marketing?,What's your background in marketing?,Non modifié
135,Backpack,Don't forget to pack your backpack for the trip.,Don't forget to pack your backpack for the trip.,Non modifié
136,Baggage claim,You can collect your luggage at the baggage claim area.,You can collect your luggage at the baggage claim area.,Non modifié
137,Balance,It's important to maintain a balance between work and personal life.,It's important to maintain a balance between work and personal life.,Non modifié
138,Balance sheet,"The company published its annual balance sheet, showing its financial assets and liabilities",The concept of Balance sheet is widely used in various contexts.,Non modifié
139,Bank,The bank approved the loan application after a thorough review of the applicant’s financial history.,The concept of Bank is widely used in various contexts.,Non modifié
140,Bankruptcy,The company declared bankruptcy last year.,The company declared bankruptcy last year.,Non modifié
141,bar,The barcode on the product makes it easy to scan at checkout.,The barcode on the product makes it easy to scan at checkout.,Modifié
142,Barcode,She held onto the bar to support herself during the exercise.,Barcode is important because she held onto the bar to support herself during the exercise.,Modifié
143,Bargain,I managed to find a bargain at the flea market.,I managed to find a bargain at the flea market.,Non modifié
144,Basic,The course covers all the basic principles of accounting.,The course covers all the basic principles of accounting.,Non modifié
145,Beat off,The team managed to beat off their competitors and win the championship.,The team managed to beat off their competitors and win the championship.,Non modifié
146,Behave,The children were told to behave during the school trip.,The children were told to behave during the school trip.,Non modifié
147,Belongings,Don't forget to collect all your belongings before you leave the hotel.,Don't forget to collect all your belongings before you leave the hotel.,Non modifié
148,Beneficial,Regular exercise is beneficial for both physical and mental health.,Regular exercise is beneficial for both physical and mental health.,Non modifié
149,Benefit,The new software update is designed to benefit users by improving system performance and enhancing overall security.,The new software update is designed to benefit users by improving system performance and enhancing overall security.,Non modifié
150,Beverage,Would you like a hot or cold beverage with your meal?,Would you like a hot or cold beverage with your meal?,Non modifié
151,Bid,The company placed a bid for the construction project.,The company placed a bid for the construction project.,Non modifié
152,Bill,Can you please pay the electricity bill this month?,Can you please pay the electricity bill this month?,Non modifié
153,Binder,The documents are organized neatly in the binder.,The documents are organized neatly in the binder.,Non modifié
154,Blanket,She covered herself with a warm blanket while watching TV.,She covered herself with a warm blanket while watching TV.,Non modifié
155,Block,"There's a roadblock ahead, so we'll need to find an alternative route.","There's a roadblock ahead, so we'll need to find an alternative route.",Modifié
156,Board,The passengers are now boarding the plane.,The passengers are now boarding the plane.,Modifié
157,Boarding pass,Don't forget to bring your boarding pass to the airport.,Don't forget to bring your boarding pass to the airport.,Non modifié
158,Boardroom,The meeting will take place in the boardroom on the top floor.,The meeting will take place in the boardroom on the top floor.,Non modifié
159,Boast,He likes to boast about his accomplishments.,He likes to boast about his accomplishments.,Non modifié
160,Book,I'll book a table for two at the restaurant for tonight.,I'll book a table for two at the restaurant for tonight.,Non modifié
161,Booking,booking a hotel room in advance is important to ensure safety,booking a hotel room in advance is important to ensure safety,Non modifié
162,Boost,The new marketing strategy helped boost sales.,The new marketing strategy helped boost sales.,Non modifié
163,Bored,I'm feeling bored; let's do something fun.,I'm feeling bored; let's do something fun.,Non modifié
164,Borrow,I had to borrow some money from my friend to pay for the repairs.,I had to borrow some money from my friend to pay for the repairs.,Non modifié
165,Bother,Don't bother about the dishes; I'll take care of them.,Don't bother about the dishes; I'll take care of them.,Non modifié
166,Bottom line,The bottom line is that we need to increase our revenue.,The bottom line is that we need to increase our revenue.,Non modifié
167,Branch,The company plans to open a new branch in the city center.,The company plans to open a new branch in the city center.,Non modifié
168,Branch out,The company plans to branch out into new markets next year.,The company plans to branch out into new markets next year.,Non modifié
169,Brand,Nike is a well-known brand for sports apparel.,Nike is a well-known brand for sports apparel.,Non modifié
170,Break down,Can you break down the costs for me?,Can you break down the costs for me?,Non modifié
171,Break into,It's difficult to break into the competitive fashion industry.,It's difficult to break into the competitive fashion industry.,Non modifié
172,Briefcase,He carries all his important documents in a leather briefcase.,He carries all his important documents in a leather briefcase.,Non modifié
173,Briefing,The manager gave us a briefing on the new project.,The manager gave us a briefing on the new project.,Non modifié
174,Bring forward,Let's bring forward the meeting to accommodate everyone's schedule.,Let's bring forward the meeting to accommodate everyone's schedule.,Non modifié
175,Bring out,The new recipe book will bring out the chef in everyone.,The new recipe book will bring out the chef in everyone.,Non modifié
176,Bring up,I need to bring up an important issue during the staff meeting.,I need to bring up an important issue during the staff meeting.,Non modifié
177,Broadcast,The news was broadcast live on television.,The news was broadcast live on television.,Non modifié
178,Broaden,Traveling can broaden your horizons and open your mind to new cultures.,Traveling can broaden your horizons and open your mind to new cultures.,Non modifié
179,Browser,Which internet browser do you prefer to use?,Which internet browser do you prefer to use?,Non modifié
180,Brush,She brushed her hair before leaving the house.,She brushed her hair before leaving the house.,Modifié
181,Budget,We need to adjust our budget to handle the buildup of maintenance costs.,The concept of Budget is widely used in various contexts.,Non modifié
182,Build up,The company set a budget for the buildup of new office supplies.,Build up is important because the company set a budget for the buildup of new office supplies.,Modifié
183,Bulletin,The company sends out a weekly bulletin to all employees.,The company sends out a weekly bulletin to all employees.,Non modifié
184,Burn out,Working long hours without breaks can cause employees to burn out quickly.,Working long hours without breaks can cause employees to burn out quickly.,Non modifié
185,Bust,"After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation.",The concept of Bust is widely used in various contexts.,Modifié
186,Buy out,The larger company decided to buy out its smaller competitor to expand its market share.,The larger company decided to buy out its smaller competitor to expand its market share.,Non modifié
187,Cabin crew,The cabin crew will assist you with any questions during the flight.,The cabin crew will assist you with any questions during the flight.,Non modifié
188,Cafeteria,The office cafeteria serves a variety of meals for lunch.,The office cafeteria serves a variety of meals for lunch.,Non modifié
189,Calculate,Let me calculate how much we'll need for the trip.,Let me calculate how much we'll need for the trip.,Non modifié
190,Calculation,The calculation shows that we're still within budget.,The calculation shows that we're still within budget.,Non modifié
191,Calculator,Do you have a calculator I can borrow for the exam?,Do you have a calculator I can borrow for the exam?,Non modifié
192,Call off,"Due to the weather, we have to call off the outdoor event.","Due to the weather, we have to call off the outdoor event.",Non modifié
193,Campaign,The charity launched a fundraising campaign to build a new school.,The charity launched a fundraising campaign to build a new school.,Non modifié
194,Cancel,I need to cancel my subscription to the magazine.,I need to cancel my subscription to the magazine.,Non modifié
195,Cancellation,The cancellation of the event disappointed many attendees.,The cancellation of the event disappointed many attendees.,Non modifié
196,Candidacy,His candidacy for the presidency was announced last week.,His candidacy for the presidency was announced last week.,Non modifié
197,Candidate,There are several candidates running for mayor in the upcoming election.,There are several candidates running for mayor in the upcoming election.,Modifié
198,candidates,Several candidates have emerged as potential successors to the CEO.,Several candidates have emerged as potential successors to the CEO.,Non modifié
199,candidature,Her candidature for the position was well-received by the selection committee.,Her candidature for the position was well-received by the selection committee.,Non modifié
200,Capacity,The venue has a capacity of 500 people.,The venue has a capacity of 500 people.,Non modifié
201,Capital,London is the capital city of England.,London is the capital city of England.,Non modifié
202,Career,She's had a successful career in finance.,The concept of Career is widely used in various contexts.,Non modifié
203,Careless,Don't be careless with the company's confidential information.,Don't be careless with the company's confidential information.,Non modifié
204,Carry out,We need to carry out a thorough investigation before reaching any conclusions.,We need to carry out a thorough investigation before reaching any conclusions.,Non modifié
205,Cash,I'll need to withdraw some cash from the ATM.,I'll need to withdraw some cash from the ATM.,Non modifié
206,Cashier,The cashier rang up my groceries at the supermarket.,The cashier rang up my groceries at the supermarket.,Non modifié
207,Catch on,The new trend seems to be catching on quickly.,The new trend seems to be catching on quickly.,Non modifié
208,Cause,The heavy rainfall was the cause of the flooding.,The heavy rainfall was the cause of the flooding.,Non modifié
209,Cautious,He's very cautious when it comes to making decisions.,He's very cautious when it comes to making decisions.,Non modifié
210,Celebrate,We're going out to celebrate my sister's birthday tonight.,We're going out to celebrate my sister's birthday tonight.,Non modifié
211,Celebration,The town holds an annual celebration to mark its founding.,The town holds an annual celebration to mark its founding.,Non modifié
212,Cell phone,Please remember to turn off your cell phone during the meeting.,Please remember to turn off your cell phone during the meeting.,Non modifié
213,Certificate,She received a certificate of achievement for her outstanding performance.,She received a certificate of achievement for her outstanding performance.,Non modifié
214,Certification,The course offers certification in project management.,The course offers certification in project management.,Non modifié
215,Chain,The company operates a chain of restaurants across the country.,The company operates a chain of restaurants across the country.,Non modifié
216,Chain store,Walmart is a well-known chain store.,Walmart is a well-known chain store.,Non modifié
217,Chair,Please take a seat in the chair next to mine.,Please take a seat in the chair next to mine.,Non modifié
218,Chairman,The chairman of the board will lead the meeting.,The chairman of the board will lead the meeting.,Non modifié
219,Chairperson,The chairperson will introduce the guest speaker.,The chairperson will introduce the guest speaker.,Non modifié
220,Characteristic,One characteristic of successful entrepreneurs is resilience.,One characteristic of successful entrepreneurs is resilience.,Non modifié
221,Characterize,The report will characterize the market trends by highlighting key growth areas and emerging opportunities,The report will characterize the market trends by highlighting key growth areas and emerging opportunities,Non modifié
222,Charge,What's the charge for using the gym facilities?,What's the charge for using the gym facilities?,Non modifié
223,Charity,The charity provides support for homeless people.,The charity provides support for homeless people.,Non modifié
224,Cheap,The store offers cheap prices on a wide range of products.,The store offers cheap prices on a wide range of products.,Non modifié
225,Check in,You can check in online before your flight.,You can check in online before your flight.,Non modifié
226,Check out,Don't forget to check out of the hotel before you leave.,Don't forget to check out of the hotel before you leave.,Non modifié
227,Chef,The chef prepared a delicious three-course meal.,The chef prepared a delicious three-course meal.,Non modifié
228,choice,She had to make a difficult choice between the two job offers.,She had to make a difficult choice between the two job offers.,Non modifié
229,chosen,The chosen candidate will be offered the job.,The chosen candidate will be offered the job.,Non modifié
230,Circumstances,"Given the circumstances, I think we made the right decision.","Given the circumstances, I think we made the right decision.",Non modifié
231,Claim,She filed a claim with her insurance company after the accident.,She filed a claim with her insurance company after the accident.,Non modifié
232,Claimant,The claimant was awarded compensation for the damages.,The claimant was awarded compensation for the damages.,Non modifié
233,Classification,The classification of the documents makes it easier to find what you need.,The classification of the documents makes it easier to find what you need.,Non modifié
234,Classify,We need to classify the items before we can proceed.,We need to classify the items before we can proceed.,Non modifié
235,Clerk,The clerk at the store was very helpful.,The clerk at the store was very helpful.,Non modifié
236,Client,Our main client is a multinational corporation.,Our main client is a multinational corporation.,Non modifié
237,Climate,The climate in this region is perfect for growing grapes.,The climate in this region is perfect for growing grapes.,Non modifié
238,close,They have a close friendship that has lasted for years.,They have a close friendship that has lasted for years.,Non modifié
239,Closure,The closure of the factory will affect many local families.,The closure of the factory will affect many local families.,Non modifié
240,Coach,The coach gave the team a pep talk before the game.,The coach gave the team a pep talk before the game.,Non modifié
241,Code,The programmer wrote the code for the new software.,The programmer wrote the code for the new software.,Non modifié
242,Collect,Don't forget to collect your tickets from the box office.,Don't forget to collect your tickets from the box office.,Non modifié
243,come on,"Come on, we're going to be late if we don't leave now.","Come on, we're going to be late if we don't leave now.",Non modifié
244,Commence,The meeting will commence in ten minutes.,The meeting will commence in ten minutes.,Non modifié
245,Commission,The salesperson earns a commission for every product sold.,The salesperson earns a commission for every product sold.,Non modifié
246,Commit,He promised to commit to the project fully.,He promised to commit to the project fully.,Non modifié
247,Committee,The committee meets every month to discuss important issues.,The committee meets every month to discuss important issues.,Non modifié
248,Commodity,Oil is a valuable commodity that is traded on the global market.,Oil is a valuable commodity that is traded on the global market.,Non modifié
249,Common,It's common for people to feel nervous before a job interview.,It's common for people to feel nervous before a job interview.,Non modifié
250,Commonly,The company commonly holds team-building activities.,The company commonly holds team-building activities.,Non modifié
251,Commute,She has a long commute to work every day.,She has a long commute to work every day.,Non modifié
252,Commuter,The train was packed with commuters heading into the city.,The train was packed with commuters heading into the city.,Modifié
253,Company,Our company specializes in software development.,Our company specializes in software development.,Non modifié
254,Comparable,Their performance is comparable to that of professional athletes.,Their performance is comparable to that of professional athletes.,Non modifié
255,Compare,Let's compare the prices before making a decision.,Let's compare the prices before making a decision.,Non modifié
256,Compatible,The new software is compatible with most operating systems.,The new software is compatible with most operating systems.,Non modifié
257,Compensate,The company will compensate employees for any overtime worked.,The company will compensate employees for any overtime worked.,Non modifié
258,Competent,She's a competent manager who knows how to lead her team effectively.,She's a competent manager who knows how to lead her team effectively.,Non modifié
259,Competition,The competition in the market is fierce.,The competition in the market is fierce.,Non modifié
260,Competitive,The company must stay competitive to survive in this industry.,The company must stay competitive to survive in this industry.,Non modifié
261,Competitor,Our main competitor just released a new product.,Our main competitor just released a new product.,Non modifié
262,Complain,"If you have any issues, feel free to complain to customer service.","If you have any issues, feel free to complain to customer service.",Non modifié
263,Complaint,He filed a formal complaint with HR about his coworker's behavior.,He filed a formal complaint with HR about his coworker's behavior.,Non modifié
264,Complete,Please complete the form and return it to our office.,Please complete the form and return it to our office.,Non modifié
265,Complex,The situation is more complex than we initially thought.,The situation is more complex than we initially thought.,Non modifié
266,Complexity,The complexity of the issue requires careful consideration.,The complexity of the issue requires careful consideration.,Non modifié
267,Compliment,She received a compliment on her presentation skills.,She received a compliment on her presentation skills.,Non modifié
268,Complimentary,The hotel offers complimentary breakfast to guests.,The hotel offers complimentary breakfast to guests.,Non modifié
269,Comply,All employees must comply with company policies.,All employees must comply with company policies.,Non modifié
270,Comprehensive,The report provides a comprehensive analysis of the market trends.,The report provides a comprehensive analysis of the market trends.,Non modifié
271,Compromise,Both sides had to compromise to reach a settlement.,Both sides had to compromise to reach a settlement.,Non modifié
272,Compulsory,Attendance at the meeting is compulsory for all staff.,Attendance at the meeting is compulsory for all staff.,Non modifié
273,Concede,He had to concede defeat after losing the election.,He had to concede defeat after losing the election.,Non modifié
274,Concern,The safety of our employees is our primary concern.,The safety of our employees is our primary concern.,Non modifié
275,Conclude,Let's conclude the meeting with a summary of our decisions.,Let's conclude the meeting with a summary of our decisions.,Non modifié
276,Conclusion,"In conclusion, I believe we've made significant progress.","In conclusion, I believe we've made significant progress.",Non modifié
277,Concourse,The concourse at the airport was bustling with travelers.,The concourse at the airport was bustling with travelers.,Non modifié
278,Condition,The car is in excellent condition for its age.,The car is in excellent condition for its age.,Non modifié
279,Conduct,Employees are expected to conduct themselves professionally at all times.,Employees are expected to conduct themselves professionally at all times.,Non modifié
280,Conference,The annual conference attracts professionals from around the world.,The annual conference attracts professionals from around the world.,Non modifié
281,confess,He confessed his love for her.,Confess is important because he confessed his love for her.,Modifié
282,Confirm,Can you confirm your attendance at the meeting?,Can you confirm your attendance at the meeting?,Non modifié
283,Confirmation,We'll send you a confirmation email once your booking is complete.,We'll send you a confirmation email once your booking is complete.,Non modifié
284,Confusion,There seems to be some confusion about the schedule.,There seems to be some confusion about the schedule.,Non modifié
285,Connect,The Wi-Fi network allows you to connect to the internet.,The Wi-Fi network allows you to connect to the internet.,Non modifié
286,Connection,The connection between the two devices is secure.,The connection between the two devices is secure.,Non modifié
